Field,Present Count,Missing Count,Present Percentage,Missing Percentage
career,186912,0,100.0,0.0
person,186912,0,100.0,0.0
current_location,168204,18708,89.99,10.01
family,154438,32474,82.63,17.37
education,144281,42631,77.19,22.81
publications,67487,119425,36.11,63.89
committee_memberships,54730,132182,29.28,70.72
board_memberships,31045,155867,16.61,83.39
travels,27781,159131,14.86,85.14
honors,27231,159681,14.57,85.43
academic_positions,24632,162280,13.18,86.82
hobbies,18860,168052,10.09,89.91
achievements,16045,170867,8.58,91.42
awards,11842,175070,6.34,93.66
honorary_titles,10504,176408,5.62,94.38
political_positions,10303,176609,5.51,94.49
community_involvement,9733,177179,5.21,94.79
military_service,6688,180224,3.58,96.42
leadership_roles,3298,183614,1.76,98.24
languages_spoken,2168,184744,1.16,98.84
