decade,total_count,has_technical_education,has_business_education,has_other_higher_education,total_directors,pct_technical,pct_business,pct_other_higher
0.0,2,0,0,0,2,0.0,0.0,0.0
10.0,1,0,0,0,1,0.0,0.0,0.0
1800.0,3,2,0,1,3,66.7,0.0,33.3
1810.0,10,0,1,7,10,0.0,10.0,70.0
1820.0,1,0,0,0,1,0.0,0.0,0.0
1830.0,5,0,0,1,5,0.0,0.0,20.0
1840.0,60,8,3,19,60,13.3,5.0,31.7
1850.0,260,43,44,48,260,16.5,16.9,18.5
1860.0,692,91,64,205,692,13.2,9.2,29.6
1870.0,1916,387,207,496,1916,20.2,10.8,25.9
1880.0,3540,597,595,1042,3540,16.9,16.8,29.4
1890.0,5097,901,1187,1540,5097,17.7,23.3,30.2
1900.0,7045,1350,1535,2771,7045,19.2,21.8,39.3
1910.0,6832,1645,1393,2626,6832,24.1,20.4,38.4
1920.0,4367,1034,1051,1886,4367,23.7,24.1,43.2
1930.0,2696,528,600,1425,2696,19.6,22.3,52.9
1940.0,1777,242,283,1184,1777,13.6,15.9,66.6
1950.0,244,20,66,124,244,8.2,27.0,50.8
1960.0,22,2,3,12,22,9.1,13.6,54.5
1970.0,2,0,0,0,2,0.0,0.0,0.0
1990.0,3,1,0,0,3,33.3,0.0,0.0
2000.0,7,5,1,0,7,71.4,14.3,0.0
2010.0,1,1,0,0,1,100.0,0.0,0.0
